FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwdPkts,TotLenBwdPkts,FwdPktLenMax,FwdPktLenMin,BwdPktLenMax,BwdPktLenMin,FwdHeaderLen,BwdHeaderLen,SubflowFwdPkts,SubflowFwdByts,SubflowBwdPkts,SubflowBwdByts,TargetOutput
1518,2,5,110,377,110,0,377,0,40,124,2,110,5,377,0
5894,4,8,168,4498,168,0,1460,0,80,184,4,168,8,4498,0
272,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
2611,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
294,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
4529,4,8,314,4434,314,0,1460,0,80,184,4,314,8,4434,0
6111,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
8165,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
10106,4,8,332,4434,332,0,1460,0,80,184,4,332,8,4434,0
11917,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
9016,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
1849,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
3876,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6059,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8300,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6560,4,8,322,4434,322,0,1460,0,80,184,4,322,8,4434,0
6847,4,8,314,4434,314,0,1460,0,80,184,4,314,8,4434,0
8600,4,8,316,4434,316,0,1460,0,80,184,4,316,8,4434,0
9283,4,8,312,4434,312,0,1460,0,80,184,4,312,8,4434,0
10465,4,8,314,4434,314,0,1460,0,80,184,4,314,8,4434,0
8344,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
6456,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
8205,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
5803,1,1,0,0,0,0,0,0,20,20,1,0,1,0,0
19836,1,1,0,0,0,0,0,0,20,20,1,0,1,0,1
